date,channel,campaign_name,spend_amount,impressions,clicks,ctr
2024-01-01,google_ads,always_on_search,985.71,102013,4961,0.0486
2024-01-01,facebook_ads,always_on_social,652.49,108016,1283,0.0119
2024-01-01,email,newsletter,0.0,7346,371,0.0506
2024-01-01,seo,organic_brand,0.0,4407,732,0.1662
2024-01-01,influencer,seasonal_collab,445.69,313727,7707,0.0246
2024-01-02,google_ads,always_on_search,1648.81,145863,3391,0.0233
2024-01-02,facebook_ads,always_on_social,903.36,107189,1534,0.0143
2024-01-02,email,newsletter,0.0,9393,337,0.0359
2024-01-02,seo,organic_brand,0.0,2753,353,0.1285
2024-01-02,influencer,seasonal_collab,411.28,201569,2352,0.0117
2024-01-03,google_ads,always_on_search,1541.02,153081,4768,0.0311
2024-01-03,facebook_ads,always_on_social,1089.49,117231,1685,0.0144
2024-01-03,email,newsletter,0.0,9675,791,0.0818
2024-01-03,seo,organic_brand,0.0,5244,758,0.1447
2024-01-03,influencer,seasonal_collab,719.15,485440,6228,0.0128
2024-01-04,google_ads,always_on_search,932.3,88976,3281,0.0369
2024-01-04,facebook_ads,always_on_social,513.5,75937,545,0.0072
2024-01-04,email,newsletter,0.0,5193,244,0.0472
2024-01-04,seo,organic_brand,0.0,4348,848,0.1952
2024-01-04,influencer,seasonal_collab,571.81,468175,8574,0.0183
2024-01-05,google_ads,always_on_search,1351.69,134695,4112,0.0305
2024-01-05,facebook_ads,always_on_social,1303.42,214256,2213,0.0103
2024-01-05,email,newsletter,0.0,5300,354,0.0669
2024-01-05,seo,organic_brand,0.0,3036,656,0.2161
2024-01-05,influencer,seasonal_collab,715.46,335996,3920,0.0117
2024-01-06,google_ads,always_on_search,1756.08,126881,2872,0.0226
2024-01-06,facebook_ads,always_on_social,1018.09,119959,1323,0.011
2024-01-06,email,newsletter,0.0,6115,206,0.0337
2024-01-06,seo,organic_brand,0.0,3484,641,0.1841
2024-01-06,influencer,seasonal_collab,484.29,388840,6964,0.0179
2024-01-07,google_ads,always_on_search,1419.41,112354,4131,0.0368
2024-01-07,facebook_ads,always_on_social,986.54,144384,1736,0.012
2024-01-07,email,newsletter,0.0,9648,296,0.0307
2024-01-07,seo,organic_brand,0.0,5569,957,0.172
2024-01-07,influencer,seasonal_collab,540.05,405419,8240,0.0203
2024-01-08,google_ads,always_on_search,1465.38,114655,3174,0.0277
2024-01-08,facebook_ads,always_on_social,913.94,122950,1361,0.0111
2024-01-08,email,newsletter,0.0,7539,393,0.0522
2024-01-08,seo,organic_brand,0.0,3158,444,0.1409
2024-01-08,influencer,seasonal_collab,353.61,222048,3065,0.0138
2024-01-09,google_ads,always_on_search,1494.11,157379,3509,0.0223
2024-01-09,facebook_ads,always_on_social,1082.27,187919,3050,0.0162
2024-01-09,email,newsletter,0.0,5076,177,0.0349
2024-01-09,seo,organic_brand,0.0,3298,500,0.1518
2024-01-09,influencer,seasonal_collab,270.87,222839,4477,0.0201
2024-01-10,google_ads,always_on_search,911.34,68900,2377,0.0345
2024-01-10,facebook_ads,always_on_social,1005.07,159214,2999,0.0188
2024-01-10,email,newsletter,0.0,6535,396,0.0606
2024-01-10,seo,organic_brand,0.0,4955,829,0.1675
2024-01-10,influencer,seasonal_collab,440.91,433709,7294,0.0168
2024-01-11,google_ads,always_on_search,1900.06,142793,6674,0.0467
2024-01-11,facebook_ads,always_on_social,628.91,92727,1529,0.0165
2024-01-11,email,newsletter,0.0,9166,487,0.0532
2024-01-11,seo,organic_brand,0.0,4973,757,0.1524
2024-01-11,influencer,seasonal_collab,705.56,409474,8988,0.022
2024-01-12,google_ads,always_on_search,1278.68,146913,6894,0.0469
2024-01-12,facebook_ads,always_on_social,1341.81,181647,1604,0.0088
2024-01-12,email,newsletter,0.0,6755,479,0.071
2024-01-12,seo,organic_brand,0.0,2644,357,0.1353
2024-01-12,influencer,seasonal_collab,246.59,211128,6017,0.0285
2024-01-13,google_ads,always_on_search,849.02,100490,2988,0.0297
2024-01-13,facebook_ads,always_on_social,496.54,56116,952,0.017
2024-01-13,email,newsletter,0.0,6689,312,0.0468
2024-01-13,seo,organic_brand,0.0,3945,551,0.1398
2024-01-13,influencer,seasonal_collab,543.0,254336,6761,0.0266
2024-01-14,google_ads,always_on_search,1104.12,121431,5180,0.0427
2024-01-14,facebook_ads,always_on_social,1303.73,202024,2781,0.0138
2024-01-14,email,newsletter,0.0,9141,814,0.0891
2024-01-14,seo,organic_brand,0.0,4655,775,0.1665
2024-01-14,influencer,seasonal_collab,402.91,279148,5837,0.0209
2024-01-15,google_ads,always_on_search,920.53,93715,4355,0.0465
2024-01-15,facebook_ads,always_on_social,646.68,106777,2023,0.0189
2024-01-15,email,newsletter,0.0,7618,568,0.0746
2024-01-15,seo,organic_brand,0.0,4752,589,0.1241
2024-01-15,influencer,seasonal_collab,236.13,204584,4357,0.0213
2024-01-16,google_ads,always_on_search,1325.41,97169,4192,0.0431
2024-01-16,facebook_ads,always_on_social,715.3,114119,833,0.0073
2024-01-16,email,newsletter,0.0,4292,342,0.0798
2024-01-16,seo,organic_brand,0.0,3261,454,0.1395
2024-01-16,influencer,seasonal_collab,346.16,247827,6921,0.0279
2024-01-17,google_ads,always_on_search,1675.35,118646,5291,0.0446
2024-01-17,facebook_ads,always_on_social,1108.14,196951,1568,0.008
2024-01-17,email,newsletter,0.0,4279,383,0.0897
2024-01-17,seo,organic_brand,0.0,5236,689,0.1317
2024-01-17,influencer,seasonal_collab,653.38,300863,7182,0.0239
2024-01-18,google_ads,always_on_search,1289.17,109605,4568,0.0417
2024-01-18,facebook_ads,always_on_social,1022.11,115729,931,0.008
2024-01-18,email,newsletter,0.0,8379,350,0.0418
2024-01-18,seo,organic_brand,0.0,2851,603,0.2115
2024-01-18,influencer,seasonal_collab,364.82,351627,4437,0.0126
2024-01-19,google_ads,always_on_search,1451.5,141852,5178,0.0365
2024-01-19,facebook_ads,always_on_social,537.29,77710,500,0.0064
2024-01-19,email,newsletter,0.0,8519,485,0.057
2024-01-19,seo,organic_brand,0.0,3641,736,0.2023
2024-01-19,influencer,seasonal_collab,711.07,435054,7898,0.0182
2024-01-20,google_ads,always_on_search,1644.76,189338,7490,0.0396
2024-01-20,facebook_ads,always_on_social,557.25,71128,1260,0.0177
2024-01-20,email,newsletter,0.0,7931,567,0.0716
2024-01-20,seo,organic_brand,0.0,4057,533,0.1315
2024-01-20,influencer,seasonal_collab,695.72,439501,11959,0.0272
2024-01-21,google_ads,always_on_search,1296.08,149097,6601,0.0443
2024-01-21,facebook_ads,always_on_social,1179.87,183552,2578,0.014
2024-01-21,email,newsletter,0.0,9149,661,0.0723
2024-01-21,seo,organic_brand,0.0,3114,519,0.1667
2024-01-21,influencer,seasonal_collab,585.03,293196,5966,0.0204
2024-01-22,google_ads,always_on_search,1272.57,139622,5396,0.0386
2024-01-22,facebook_ads,always_on_social,1247.15,186637,1165,0.0062
2024-01-22,email,newsletter,0.0,8087,259,0.0321
2024-01-22,seo,organic_brand,0.0,4468,626,0.1402
2024-01-22,influencer,seasonal_collab,567.69,369872,8691,0.0235
2024-01-23,google_ads,always_on_search,1294.12,138743,3438,0.0248
2024-01-23,facebook_ads,always_on_social,823.9,138382,1124,0.0081
2024-01-23,email,newsletter,0.0,6411,350,0.0547
2024-01-23,seo,organic_brand,0.0,3165,538,0.1701
2024-01-23,influencer,seasonal_collab,605.31,488144,10076,0.0206
2024-01-24,google_ads,always_on_search,1374.49,104837,3660,0.0349
2024-01-24,facebook_ads,always_on_social,1005.03,155510,1946,0.0125
2024-01-24,email,newsletter,0.0,4386,360,0.0822
2024-01-24,seo,organic_brand,0.0,5137,931,0.1814
2024-01-24,influencer,seasonal_collab,517.87,268349,5342,0.0199
2024-01-25,google_ads,always_on_search,1733.41,143475,3683,0.0257
2024-01-25,facebook_ads,always_on_social,505.3,90040,1266,0.0141
2024-01-25,email,newsletter,0.0,4354,155,0.0357
2024-01-25,seo,organic_brand,0.0,5309,1113,0.2098
2024-01-25,influencer,seasonal_collab,591.28,447224,7465,0.0167
2024-01-26,google_ads,always_on_search,887.1,83791,2531,0.0302
2024-01-26,facebook_ads,always_on_social,885.2,111247,745,0.0067
2024-01-26,email,newsletter,0.0,7325,280,0.0384
2024-01-26,seo,organic_brand,0.0,5397,712,0.132
2024-01-26,influencer,seasonal_collab,299.18,194651,3864,0.0199
2024-01-27,google_ads,always_on_search,1574.88,115053,5678,0.0494
2024-01-27,facebook_ads,always_on_social,971.96,157118,1421,0.0091
2024-01-27,email,newsletter,0.0,5901,209,0.0355
2024-01-27,seo,organic_brand,0.0,2713,569,0.2098
2024-01-27,influencer,seasonal_collab,226.35,126231,2994,0.0237
2024-01-28,google_ads,always_on_search,1519.05,126096,5116,0.0406
2024-01-28,facebook_ads,always_on_social,593.16,70863,1172,0.0165
2024-01-28,email,newsletter,0.0,7092,351,0.0495
2024-01-28,seo,organic_brand,0.0,4593,913,0.1989
2024-01-28,influencer,seasonal_collab,657.17,398991,4955,0.0124
2024-01-29,google_ads,always_on_search,1341.48,150415,3206,0.0213
2024-01-29,facebook_ads,always_on_social,830.1,116294,1466,0.0126
2024-01-29,email,newsletter,0.0,7662,484,0.0632
2024-01-29,seo,organic_brand,0.0,2713,346,0.1277
2024-01-29,influencer,seasonal_collab,451.5,348258,3698,0.0106
2024-01-30,google_ads,always_on_search,1424.48,110210,4258,0.0386
2024-01-30,facebook_ads,always_on_social,1330.29,205696,3341,0.0162
2024-01-30,email,newsletter,0.0,8967,507,0.0566
2024-01-30,seo,organic_brand,0.0,5184,873,0.1684
2024-01-30,influencer,seasonal_collab,225.02,213531,3271,0.0153
2024-01-31,google_ads,always_on_search,1730.07,122833,2684,0.0219
2024-01-31,facebook_ads,always_on_social,504.52,69747,1263,0.0181
2024-01-31,email,newsletter,0.0,4770,172,0.0361
2024-01-31,seo,organic_brand,0.0,3793,610,0.1611
2024-01-31,influencer,seasonal_collab,641.79,553613,10172,0.0184
2024-02-01,google_ads,always_on_search,1422.65,167562,3951,0.0236
2024-02-01,facebook_ads,always_on_social,1029.6,145474,886,0.0061
2024-02-01,email,newsletter,0.0,7494,378,0.0505
2024-02-01,seo,organic_brand,0.0,5034,957,0.1901
2024-02-01,influencer,seasonal_collab,391.59,331769,4798,0.0145
2024-02-02,google_ads,always_on_search,1143.3,85387,3511,0.0411
2024-02-02,facebook_ads,always_on_social,648.63,71262,1421,0.0199
2024-02-02,email,newsletter,0.0,4238,236,0.0557
2024-02-02,seo,organic_brand,0.0,2961,424,0.1433
2024-02-02,influencer,seasonal_collab,558.24,477332,4922,0.0103
2024-02-03,google_ads,always_on_search,1161.04,98271,3990,0.0406
2024-02-03,facebook_ads,always_on_social,1272.65,228694,2240,0.0098
2024-02-03,email,newsletter,0.0,7360,478,0.065
2024-02-03,seo,organic_brand,0.0,4283,768,0.1794
2024-02-03,influencer,seasonal_collab,598.5,402730,11623,0.0289
2024-02-04,google_ads,always_on_search,1662.37,139212,6555,0.0471
2024-02-04,facebook_ads,always_on_social,1361.96,176822,3128,0.0177
2024-02-04,email,newsletter,0.0,9490,341,0.036
2024-02-04,seo,organic_brand,0.0,3740,536,0.1435
2024-02-04,influencer,seasonal_collab,285.29,173064,3215,0.0186
2024-02-05,google_ads,always_on_search,1285.22,135760,4746,0.035
2024-02-05,facebook_ads,always_on_social,979.68,115252,1948,0.0169
2024-02-05,email,newsletter,0.0,4863,400,0.0824
2024-02-05,seo,organic_brand,0.0,4081,515,0.1264
2024-02-05,influencer,seasonal_collab,468.48,385906,11290,0.0293
2024-02-06,google_ads,always_on_search,1616.54,180213,4465,0.0248
2024-02-06,facebook_ads,always_on_social,504.76,70015,1363,0.0195
2024-02-06,email,newsletter,0.0,4796,207,0.0434
2024-02-06,seo,organic_brand,0.0,2538,337,0.1329
2024-02-06,influencer,seasonal_collab,216.59,216573,5832,0.0269
2024-02-07,google_ads,always_on_search,1430.41,128426,5413,0.0422
2024-02-07,facebook_ads,always_on_social,851.13,86478,1030,0.0119
2024-02-07,email,newsletter,0.0,7888,416,0.0528
2024-02-07,seo,organic_brand,0.0,4070,544,0.1338
2024-02-07,influencer,seasonal_collab,534.15,506007,10016,0.0198
2024-02-08,google_ads,always_on_search,1309.74,121908,2914,0.0239
2024-02-08,facebook_ads,always_on_social,1173.07,187937,2669,0.0142
2024-02-08,email,newsletter,0.0,5910,302,0.0512
2024-02-08,seo,organic_brand,0.0,5496,1165,0.2121
2024-02-08,influencer,seasonal_collab,669.31,320461,5366,0.0167
2024-02-09,google_ads,always_on_search,1290.86,138413,4033,0.0291
2024-02-09,facebook_ads,always_on_social,770.45,101088,1829,0.0181
2024-02-09,email,newsletter,0.0,8497,394,0.0464
2024-02-09,seo,organic_brand,0.0,5581,700,0.1255
2024-02-09,influencer,seasonal_collab,706.15,513610,8689,0.0169
2024-02-10,google_ads,always_on_search,1658.19,127165,3692,0.029
2024-02-10,facebook_ads,always_on_social,629.29,92624,1143,0.0123
2024-02-10,email,newsletter,0.0,8787,651,0.0742
2024-02-10,seo,organic_brand,0.0,4324,917,0.2121
2024-02-10,influencer,seasonal_collab,526.05,456310,9317,0.0204
2024-02-11,google_ads,always_on_search,1443.38,130199,5052,0.0388
2024-02-11,facebook_ads,always_on_social,690.62,77057,905,0.0117
2024-02-11,email,newsletter,0.0,5507,446,0.0812
2024-02-11,seo,organic_brand,0.0,5508,756,0.1374
2024-02-11,influencer,seasonal_collab,401.45,246346,6535,0.0265
2024-02-12,google_ads,always_on_search,1076.91,103970,2329,0.0224
2024-02-12,facebook_ads,always_on_social,861.12,154719,3047,0.0197
2024-02-12,email,newsletter,0.0,8512,420,0.0493
2024-02-12,seo,organic_brand,0.0,5223,697,0.1335
2024-02-12,influencer,seasonal_collab,325.76,159548,2115,0.0133
2024-02-13,google_ads,always_on_search,1542.76,164408,4513,0.0275
2024-02-13,facebook_ads,always_on_social,870.47,92415,1365,0.0148
2024-02-13,email,newsletter,0.0,7786,510,0.0655
2024-02-13,seo,organic_brand,0.0,5570,835,0.15
2024-02-13,influencer,seasonal_collab,691.51,665120,17392,0.0261
2024-02-14,google_ads,always_on_search,1729.5,166308,7111,0.0428
2024-02-14,facebook_ads,always_on_social,1326.25,226300,2812,0.0124
2024-02-14,email,newsletter,0.0,9017,400,0.0444
2024-02-14,seo,organic_brand,0.0,3769,504,0.1338
2024-02-14,influencer,seasonal_collab,280.02,240699,5780,0.024
2024-02-15,google_ads,always_on_search,1888.77,221588,5464,0.0247
2024-02-15,facebook_ads,always_on_social,1417.8,165441,2981,0.018
2024-02-15,email,newsletter,0.0,5915,222,0.0376
2024-02-15,seo,organic_brand,0.0,5086,1064,0.2093
2024-02-15,influencer,seasonal_collab,520.58,316888,5255,0.0166
2024-02-16,google_ads,always_on_search,1126.22,119130,5588,0.0469
2024-02-16,facebook_ads,always_on_social,586.6,101568,640,0.0063
2024-02-16,email,newsletter,0.0,5719,183,0.0321
2024-02-16,seo,organic_brand,0.0,3686,614,0.1668
2024-02-16,influencer,seasonal_collab,574.84,279472,5871,0.021
2024-02-17,google_ads,always_on_search,1086.76,97765,2618,0.0268
2024-02-17,facebook_ads,always_on_social,1125.96,168772,2993,0.0177
2024-02-17,email,newsletter,0.0,6639,508,0.0765
2024-02-17,seo,organic_brand,0.0,3327,582,0.1752
2024-02-17,influencer,seasonal_collab,351.28,189139,3380,0.0179
2024-02-18,google_ads,always_on_search,966.89,78906,3755,0.0476
2024-02-18,facebook_ads,always_on_social,794.38,95872,912,0.0095
2024-02-18,email,newsletter,0.0,4539,247,0.0545
2024-02-18,seo,organic_brand,0.0,3329,713,0.2144
2024-02-18,influencer,seasonal_collab,309.12,217595,3136,0.0144
2024-02-19,google_ads,always_on_search,1569.97,169069,7296,0.0432
2024-02-19,facebook_ads,always_on_social,1175.27,134515,1595,0.0119
2024-02-19,email,newsletter,0.0,8750,336,0.0385
2024-02-19,seo,organic_brand,0.0,4442,778,0.1753
2024-02-19,influencer,seasonal_collab,661.75,522755,12542,0.024
2024-02-20,google_ads,always_on_search,947.12,88738,3763,0.0424
2024-02-20,facebook_ads,always_on_social,1141.51,193274,2129,0.011
2024-02-20,email,newsletter,0.0,5400,444,0.0824
2024-02-20,seo,organic_brand,0.0,5195,664,0.128
2024-02-20,influencer,seasonal_collab,435.27,214442,6375,0.0297
2024-02-21,google_ads,always_on_search,1103.4,92128,3825,0.0415
2024-02-21,facebook_ads,always_on_social,630.81,70398,652,0.0093
2024-02-21,email,newsletter,0.0,5869,476,0.0813
2024-02-21,seo,organic_brand,0.0,4450,610,0.1371
2024-02-21,influencer,seasonal_collab,425.73,197151,3733,0.0189
2024-02-22,google_ads,always_on_search,1006.72,97964,2599,0.0265
2024-02-22,facebook_ads,always_on_social,1238.67,164523,3029,0.0184
2024-02-22,email,newsletter,0.0,5757,217,0.0377
2024-02-22,seo,organic_brand,0.0,5054,1031,0.204
2024-02-22,influencer,seasonal_collab,357.04,283357,4743,0.0167
2024-02-23,google_ads,always_on_search,971.94,90800,2815,0.031
2024-02-23,facebook_ads,always_on_social,595.1,91583,633,0.0069
